player,id,kdr,adr,kills,died,kast_pct,multi_kills,first_kills,hs_pct,plan._bombs,defu._bombs,mes,partidas
gfelicio,325002,0.79,75.42,42,53,60%,10,7,50%,1,0,2026-02,5
wEs,1718975,1.11,85.95,392,354,67%,100,66,43%,20,10,2026-02,5
BioAlarcon,1823210,0.43,39.0,13,30,55%,1,0,23%,3,1,2026-02,2
JOGod,1480613,0.99,78.92,107,108,68%,28,19,36%,13,2,2026-02,13
ManoShaco,2053668,0.97,63.43,29,30,60%,7,3,28%,2,1,2026-02,1
Anjoz,2153414,0.86,67.48,54,63,59%,15,6,46%,8,0,2026-02,3
TioZo,515855,0.59,54.8,44,74,53%,10,2,41%,6,1,2026-02,
MARMOT,1116597,0.86,76.32,50,58,66%,10,10,42%,1,1,2026-02,
gfelicio,325002,0.79,75.42,42,53,60%,10,7,50%,1,0,2026-03,N/D
wEs,1718975,1.11,85.95,392,354,67%,100,66,43%,20,10,2026-03,N/D
BioAlarcon,1823210,0.43,39,13,30,55%,1,0,23%,3,1,2026-03,N/D
JOGod,1480613,0.98,73.04,191,195,64%,51,20,34%,23,6,2026-03,N/D
ManoShaco,2053668,0.5,47.24,7,14,47%,1,0,43%,1,0,2026-03,N/D
Anjoz,2153414,0.78,58.99,46,59,62%,8,9,39%,5,1,2026-03,N/D
TioZo,515855,0.79,69.78,127,160,65%,30,16,46%,17,1,2026-03,N/D
MARMOT,1116597,0.94,76.52,154,164,68%,37,19,38%,8,2,2026-03,11
Baludinho,1571977,0.47,37.34,24,51,44%,4,3,21%,3,1,2026-03,3
