player,steam_id,kdr,adr,hs_pct,rating,winrate,kills,mes
gfelicio,76561198188905417,N/D,"75
DAMAGE
39959
ROUNDS
531","34%
KILLS
355
DEATHS
415
ASSISTS
125
HEADSHOTS
121","1
0.01","52%
2
PLAYED
27
WON
14
LOST
12
TIED
1",88,2026-02
wEs,76561199581556353,N/D,"80
2
DAMAGE
17835
ROUNDS
224","48%
2
KILLS
187
DEATHS
165
ASSISTS
39
HEADSHOTS
89","1.16
0.06","33%
3
PLAYED
12
WON
4
LOST
8
TIED
0",54,2026-02
BioAlarcon,76561198195671534,N/D,"64
1
DAMAGE
62907
ROUNDS
981","35%
KILLS
566
DEATHS
709
ASSISTS
210
HEADSHOTS
200",0.9,"35%
2
PLAYED
46
WON
16
LOST
28
TIED
2",216,2026-02
JOGod,76561198331541703,N/D,"81
DAMAGE
53505
ROUNDS
660","34%
KILLS
533
DEATHS
466
ASSISTS
151
HEADSHOTS
182","1.21
0.01","44%
1
PLAYED
32
WON
14
LOST
18
TIED
0",177,2026-02
ManoShaco,76561198383635477,N/D,"66
DAMAGE
82970
ROUNDS
1248","32%
KILLS
721
DEATHS
987
ASSISTS
327
HEADSHOTS
228",0.89,"44%
1
PLAYED
61
WON
27
LOST
34
TIED
0",202,2026-02
Anjoz,76561198144917009,N/D,"84
2
DAMAGE
36272
ROUNDS
430","42%
1
KILLS
363
DEATHS
302
ASSISTS
86
HEADSHOTS
151","1.26
0.03","62%
2
PLAYED
21
WON
13
LOST
8
TIED
0",117,2026-02
TioZo,76561198137236044,N/D,"79
1
DAMAGE
57566
ROUNDS
729","33%
KILLS
492
DEATHS
544
ASSISTS
174
HEADSHOTS
160",1.02,"29%
PLAYED
35
WON
10
LOST
25
TIED
0",126,2026-02
MARMOT,76561198126457221,N/D,"79
DAMAGE
29861
ROUNDS
379","40%
KILLS
284
DEATHS
275
ASSISTS
81
HEADSHOTS
113","1.11
0.01","32%
1
PLAYED
19
WON
6
LOST
13
TIED
0",75,2026-02
gfelicio,76561198188905417,N/D,"77
DAMAGE
44814
ROUNDS
581","34%
KILLS
400
DEATHS
460
ASSISTS
148
HEADSHOTS
135","1.02
0.01","57%
2
PLAYED
30
WON
17
LOST
12
TIED
1",89,2026-03
wEs,76561199581556353,N/D,"85
2
DAMAGE
41864
ROUNDS
492","50%
KILLS
417
DEATHS
345
ASSISTS
100
HEADSHOTS
209","1.26
0.03","54%
2
PLAYED
26
WON
14
LOST
12
TIED
0",156,2026-03
BioAlarcon,76561198195671534,N/D,"66
DAMAGE
55872
ROUNDS
853","36%
KILLS
507
DEATHS
623
ASSISTS
183
HEADSHOTS
185",0.92,"37%
1
PLAYED
41
WON
15
LOST
24
TIED
2",181,2026-03
JOGod,76561198331541703,N/D,"82
DAMAGE
62263
ROUNDS
763","36%
KILLS
634
DEATHS
519
ASSISTS
162
HEADSHOTS
229","1.24
0.01","53%
1
PLAYED
38
WON
20
LOST
18
TIED
0",217,2026-03
ManoShaco,76561198383635477,N/D,"68
DAMAGE
79211
ROUNDS
1173","30%
KILLS
678
DEATHS
926
ASSISTS
324
HEADSHOTS
202",0.9,"45%
1
PLAYED
58
WON
26
LOST
32
TIED
0",181,2026-03
Anjoz,76561198144917009,N/D,"82
1
DAMAGE
32794
ROUNDS
401","45%
1
KILLS
333
DEATHS
280
ASSISTS
80
HEADSHOTS
150","1.25
0.01","60%
3
PLAYED
20
WON
12
LOST
8
TIED
0",96,2026-03
TioZo,76561198137236044,N/D,"79
DAMAGE
66054
ROUNDS
840","32%
1
KILLS
554
DEATHS
624
ASSISTS
212
HEADSHOTS
179",1.02,"37%
1
PLAYED
41
WON
15
LOST
26
TIED
0",139,2026-03
MARMOT,76561198126457221,N/D,"81
DAMAGE
42250
ROUNDS
523","41%
KILLS
398
DEATHS
374
ASSISTS
114
HEADSHOTS
162",1.15,"38%
2
PLAYED
26
WON
10
LOST
16
TIED
0",126,2026-03
Baludinho,76561198359097041,N/D,"75
75
DAMAGE
1584
ROUNDS
21","33%
33
KILLS
18
DEATHS
16
ASSISTS
2
HEADSHOTS
6","1.18
1.18","0%
PLAYED
1
WON
0
LOST
1
TIED
0",8,2026-03
